日経平均,,,,,TOPIX,,,,CPI,東京市場　ドル・円　スポット　17時時点/月末,貸出約定平均金利（月次）,企業物価指数（月次）,,,,,,,,,,,,
日付,始値,高値,安値,終値,始値,高値,安値,終値,指数（2020年＝100）,1ドルにつき円,新規/総合/国内銀行,[国内企業物価指数] 総平均（前年比）,,,,,,,,,,,,
2023年4月,"28,203.35","28,879.24","27,427.66","28,856.44","2,015.05","2,057.48","1,958.82","2,057.48",105.1 ,135.73,0.714,6.1,,2023年4月,,,,,,,,,,
2023年3月,"27,363.57","28,734.79","26,632.92","28,041.48","1,989.38","2,071.60","1,910.60","2,003.50",104.4 ,133.13,0.625,7.4,,2023年3月,,,,,,,,,,
2023年2月,"27,483.41","27,821.22","27,046.08","27,445.56","1,984.12","2,003.46","1,960.72","1,993.28",104.0 ,136.76,0.704,8.4,,2023年2月,,,,,,,,,,
2023年1月,"25,834.93","27,502.15","25,661.89","27,327.11","1,879.19","1,991.14","1,862.27","1,975.27",104.7 ,130.15,0.745,9.6,,2023年1月,,,,,,,,,,
2022年12月,"28,273.13","28,423.46","25,953.92","26,094.50","1,996.72","2,001.06","1,880.88","1,891.71",104.1 ,132.14,0.557,10.6,,2022年12月,,,,,,,,,,
2022年11月,"27,614.64","28,502.29","27,032.02","27,968.99","1,934.45","2,023.39","1,907.61","1,985.57",103.9 ,138.53,0.628,10,,2022年11月,,,,,,,,,,
2022年10月,"25,778.95","27,602.99","25,621.96","27,587.46","1,827.32","1,930.47","1,815.30","1,929.43",103.7 ,148.01,0.672,9.7,,2022年10月,,,,,,,,,,
2022年9月,"27,797.00","28,659.76","25,805.59","25,937.21","1,945.70","1,987.55","1,830.55","1,835.94",103.1 ,144.32,0.574,10.4,,2022年9月,,,,,,,,,,
2022年8月,"27,813.82","29,222.77","27,530.60","28,091.53","1,943.06","2,006.99","1,923.52","1,963.16",102.7 ,138.6,0.599,9.8,,2022年8月,,,,,,,,,,
2022年7月,"26,460.71","28,015.68","25,841.75","27,801.64","1,875.59","1,958.64","1,836.73","1,940.31",102.3 ,132.78,0.718,9.5,,2022年7月,,,,,,,,,,
2022年6月,"27,295.63","28,389.75","25,520.23","26,393.04","1,916.90","1,978.39","1,808.77","1,870.82",101.8 ,136.2,0.522,9.8,,2022年6月,,,,,,,,,,
2022年5月,"26,851.10","27,463.33","25,688.11","27,279.80","1,899.92","1,926.18","1,826.51","1,912.67",101.8 ,127.76,0.562,9.6,,2022年5月,,,,,,,,,,
2022年4月,"27,624.11","27,965.94","26,051.04","26,847.90","1,933.04","1,967.68","1,842.78","1,899.62",101.5 ,130.6,0.659,10.2,,2022年4月,,,,,,,,,,
